Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T08:20:17,DROGUERIA STO043 (04320),DROGUERIA STO082 (08220),unanswered,00:00:13,00:00:00,0.00,Terminated by DROGUERIA STO043 (04320),,,
2025-08-01T08:20:04,DROGUERIA STO136 (13620),57020,unanswered,00:00:04,00:00:00,0.00,Terminated by DROGUERIA STO136 (13620),,,
2025-08-01T08:19:32,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:26,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:33,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:25,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:34,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:24,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:34,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:23,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:35,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:22,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:35,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:22,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:36,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:21,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:37,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:20,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:37,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:19,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:38,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:18,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:38,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:17,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:39,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:17,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:40,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:16,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:40,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:15,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:41,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:14,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:42,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:13,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:42,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:12,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:43,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:11,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:43,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:11,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:44,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:10,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:45,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:09,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:45,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:08,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:46,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:07,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:47,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:06,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:47,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:06,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:48,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:05,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:49,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:04,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:49,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:03,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:50,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:02,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:51,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:01,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:45,DROGUERIA STO083 (08320),VMail (06620),answered,00:00:00,00:00:07,0.00,Terminated by DROGUERIA STO083 (08320),,,
2025-08-01T08:19:23,DROGUERIA STO083 (08320),DROGUERIA STO066 (06620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06620)",,,
2025-08-01T08:19:51,MARIA ARMELLA MACHACON (98484),90346,unanswered,00:00:00,00:00:00,0.00,No Route Exists,,,
2025-08-01T08:19:35,DROGUERIA STO503 (50320),VMail (06720),answered,00:00:00,00:00:11,0.00,Terminated by DROGUERIA STO503 (50320),,,
2025-08-01T08:19:14,DROGUERIA STO503 (50320),DROGUERIA SAO067 (06720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06720)",,,
2025-08-01T08:19:25,DROGUERIA SDO528 (52820),VMail (07920),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA SDO528 (52820),,,
2025-08-01T08:19:04,DROGUERIA SDO528 (52820),DROGUERIA STO 079 (07920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07920)",,,
2025-08-01T08:19:19,DROGUERIA STO036 (03620),VMail (03120),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO036 (03620),,,
2025-08-01T08:18:58,DROGUERIA STO036 (03620),DROGUERIA SAO031 (03120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03120)",,,
2025-08-01T08:18:53,ATENCION CLIENTE STO009 (00910),98826,answered,00:00:21,00:00:05,0.08,Terminated by ATENCION CLIENTE STO009 (00910),,,
2025-08-01T08:19:02,DROGUERIA STO503 (50320),VMail (06720),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO503 (50320),,,
2025-08-01T08:18:41,DROGUERIA STO503 (50320),DROGUERIA SAO067 (06720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06720)",,,
2025-08-01T08:18:54,DROGUERIA SDO528 (52820),VMail (07920),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO528 (52820),,,
2025-08-01T08:18:33,DROGUERIA SDO528 (52820),DROGUERIA STO 079 (07920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07920)",,,
2025-08-01T08:18:50,DROGUERIA STO036 (03620),VMail (03120),answered,00:00:00,00:00:08,0.00,Terminated by DROGUERIA STO036 (03620),,,
2025-08-01T08:18:29,DROGUERIA STO036 (03620),DROGUERIA SAO031 (03120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03120)",,,
2025-08-01T08:18:18,ATENCION CLIENTE STO009 (00910),98826,answered,00:00:21,00:00:04,0.07,Terminated by ATENCION CLIENTE STO009 (00910),,,
2025-08-01T08:18:29,DROGUERIA STO503 (50320),VMail (06720),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA STO503 (50320),,,
2025-08-01T08:18:08,DROGUERIA STO503 (50320),DROGUERIA SAO067 (06720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06720)",,,
2025-08-01T08:18:26,DROGUERIA STO036 (03620),VMail (03120),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO036 (03620),,,
2025-08-01T08:18:05,DROGUERIA STO036 (03620),DROGUERIA SAO031 (03120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03120)",,,
2025-08-01T08:18:22,DROGUERIA SDO528 (52820),VMail (07920),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO528 (52820),,,
2025-08-01T08:18:01,DROGUERIA SDO528 (52820),DROGUERIA STO 079 (07920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07920)",,,
2025-08-01T08:18:08,DROGUERIA STO516 (51620),04720,unanswered,00:00:00,00:00:00,0.00,Terminated by 04720,,,
2025-08-01T08:18:01,DROGUERIA STO036 (03620),VMail (03120),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO036 (03620),,,
2025-08-01T08:17:40,DROGUERIA STO036 (03620),DROGUERIA SAO031 (03120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03120)",,,
2025-08-01T08:18:03,DROGUERIA STO516 (51620),04720,unanswered,00:00:00,00:00:00,0.00,Terminated by 04720,,,
2025-08-01T08:17:48,DROGUERIA STO503 (50320),VMail (06710),answered,00:00:00,00:00:09,0.00,Terminated by DROGUERIA STO503 (50320),,,
2025-08-01T08:17:27,DROGUERIA STO503 (50320),ATENCION CLIENTE SAO067 (06710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (06710)",,,
2025-08-01T08:17:50,DROGUERIA SDO528 (52820),VMail (07920),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO528 (52820),,,
2025-08-01T08:17:29,DROGUERIA SDO528 (52820),DROGUERIA STO 079 (07920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07920)",,,
2025-08-01T08:17:18,DROGUERIA SDO528 (52820),VMail (07920),answered,00:00:00,00:00:07,0.00,Terminated by DROGUERIA SDO528 (52820),,,
2025-08-01T08:16:57,DROGUERIA SDO528 (52820),DROGUERIA STO 079 (07920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (07920)",,,
2025-08-01T08:15:03,DROGUERIA STO024 (02420),DROGUERIA STO008 (00820),answered,00:00:05,00:02:10,0.00,Terminated by DROGUERIA STO008 (00820),,,
2025-08-01T08:17:13,DROGUERIA STO503 (50320),ATENCION CLIENTE SAO067 (06710),unanswered,00:00:03,00:00:00,0.00,Terminated by DROGUERIA STO503 (50320),,,
